Wetland Code,Wetland Name,Abun_1,Emer_1,Sub_1,Float_1,Abun_2,Emer_2,Sub_2,Float_2,E_Prop1,S_Prop1,F_Prop1,E_Prop2,S_Prop2,F_Prop2
BV,Beaverstone,39,10,25,4,8,1,4,0,0.256410256,0.641025641,0.102564103,0.125,0.5,0
BTB,Big Tub,15,4,11,0,11,6,4,1,0.266666667,0.733333333,0,0.545454545,0.363636364,0.090909091
BLR,Black Rock,36,9,22,5,7,3,2,0,0.25,0.611111111,0.138888889,0.428571429,0.285714286,0
BG,Boat Passage,24,8,15,1,9,3,6,0,0.333333333,0.625,0.041666667,0.333333333,0.666666667,0
CHI,Charles Inlet,25,4,18,3,17,4,6,1,0.16,0.72,0.12,0.235294118,0.352941176,0.058823529
CRB,Corbman Bay,32,5,22,5,12,2,4,0,0.15625,0.6875,0.15625,0.166666667,0.333333333,0
CM,Cormican Bay,29,6,21,2,15,1,5,2,0.206896552,0.724137931,0.068965517,0.066666667,0.333333333,0.133333333
CN,Cove Island North,29,10,18,1,7,2,4,1,0.344827586,0.620689655,0.034482759,0.285714286,0.571428571,0.142857143
DV,David's Bay,39,9,26,4,14,4,4,1,0.230769231,0.666666667,0.102564103,0.285714286,0.285714286,0.071428571
DI,Deer Island,41,9,28,4,8,2,1,1,0.219512195,0.682926829,0.097560976,0.25,0.125,0.125
DF,Dogfish Bay,24,5,14,5,10,4,5,0,0.208333333,0.583333333,0.208333333,0.4,0.5,0
FP,Francis Point,25,4,19,2,14,2,4,2,0.16,0.76,0.08,0.142857143,0.285714286,0.142857143
GY,Ganyon Bay,29,5,20,4,9,0,5,0,0.172413793,0.689655172,0.137931034,0,0.555555556,0
GC,Garden Channel,22,7,14,1,12,1,4,2,0.318181818,0.636363636,0.045454545,0.083333333,0.333333333,0.166666667
GN,Goose Neck Bay,13,2,8,3,16,0,11,1,0.153846154,0.615384615,0.230769231,0,0.6875,0.0625
GI,Green Island,43,10,28,5,10,3,2,0,0.23255814,0.651162791,0.11627907,0.3,0.2,0
HB1,Hay Bay 1,31,9,20,2,5,4,1,0,0.290322581,0.64516129,0.064516129,0.8,0.2,0
HB2,Hay Bay 2,33,10,19,4,6,2,4,0,0.303030303,0.575757576,0.121212121,0.333333333,0.666666667,0
HB3,Hay Bay 3,22,9,12,1,8,1,7,0,0.409090909,0.545454545,0.045454545,0.125,0.875,0
HRM,Hermann's Bay,44,14,24,6,11,1,5,0,0.318181818,0.545454545,0.136363636,0.090909091,0.454545455,0
HG,Hog Bay,13,2,9,2,15,4,6,2,0.153846154,0.692307692,0.153846154,0.266666667,0.4,0.133333333
HW,Hole in the Wall,17,5,9,3,20,3,13,2,0.294117647,0.529411765,0.176470588,0.15,0.65,0.1
INK,Inukshuk Bay,28,9,17,2,12,3,2,1,0.321428571,0.607142857,0.071428571,0.25,0.166666667,0.083333333
