Wetland Code,Wetland Name,Lat,Long,Abun 1,Emer 1,Float 1,Sub 1,Terr 1,Native 1,Exotic 1,Abun 2,Emer 2,Float 2,Sub 2,Terr 2,Native 2,Exotic 2
BV,Beaverstone,45.98438,-81.14632308,39,10,4,25,0,37,1,26,3,3,17,3,25,1
BTB,Big Tub,45.25504,-81.68142,15,4,0,11,0,14,1,23,9,1,13,0,21,1
BLR,Black Rock,45.04209091,-79.97291745,36,9,5,22,0,36,0,19,5,3,9,2,19,0
BG,Boat Passage,45.28953,-81.71899,24,8,1,15,0,22,2,28,9,1,18,0,25,2
CHI,Charles Inlet,45.64627688,-80.56829446,25,4,3,18,0,25,0,30,6,4,14,6,27,3
CRB,Corbman Bay,45.40891935,-80.34162355,32,5,5,22,0,32,0,30,5,4,15,6,29,1
CM,Cormican Bay,45.40618078,-80.31293703,29,6,2,21,0,29,0,35,6,4,18,7,32,3
CN,Cove Island North,45.3134,-81.76227,29,10,1,18,0,27,2,27,8,1,18,0,24,2
DV,David's Bay,45.04649895,-80.20318395,39,9,4,26,0,39,0,37,10,5,17,5,36,1
DI,Deer Island,45.94815375,-51.96100833,41,9,4,28,0,40,1,31,7,4,16,4,29,1
DF,Dogfish Bay,46.08082191,-80.69968915,24,5,5,14,0,23,1,23,5,5,12,1,22,1
FP,Francis Point,45.41434647,-80.33436176,25,4,2,19,0,25,0,26,5,4,11,6,24,2
GY,Ganyon Bay,44.92063089,-79.81783857,29,5,4,20,0,28,1,27,4,3,15,4,25,1
GC,Garden Channel,45.18675652,-80.12133948,22,7,1,14,0,22,0,23,2,3,13,5,22,1
GN,Goose Neck Bay,45.20520806,-80.11163944,13,2,3,8,0,13,0,23,2,3,14,4,20,3
GI,Green Island,44.78682132,-79.74640625,43,10,5,28,0,40,2,38,9,5,19,5,35,1
HB1,Hay Bay 1,45.24089,-81.68385,31,9,2,20,0,28,2,29,10,1,18,0,26,2
HB2,Hay Bay 2,45.23341,-81.69424,33,10,4,19,0,31,1,24,8,2,14,0,22,1
HB3,Hay Bay 3,45.23391,-81.70129,22,9,1,12,0,20,1,27,8,1,18,0,24,2
HRM,Hermann's Bay,45.0865685,-59.530466,44,14,6,24,0,43,1,36,5,4,21,5,32,3
HG,Hog Bay,44.73364016,-79.89746673,13,2,2,9,0,12,1,24,5,4,11,3,22,1
HW,Hole in the Wall,45.52209531,-80.43859286,17,5,3,9,0,16,0,32,6,5,19,2,32,0
INK,Inukshuk Bay,45.55674229,-80.47972396,28,9,2,17,0,28,0,20,6,2,6,6,18,1
IQ,Iroquois Bay,46.08740929,-47.95768771,35,9,5,21,0,33,0,35,5,5,22,3,32,2
JB,Jumbo Bay,46.05179595,-81.81959595,25,4,0,21,0,24,1,17,4,0,12,1,13,2
KB,Kenerick Bay,45.70092071,-80.59538571,22,3,3,16,0,22,0,20,6,3,9,2,19,0
KE,Key River,45.88611445,-80.6770027,27,8,4,15,0,26,1,36,7,5,18,5,34,1
KE3,Key River 3,45.88549327,-80.69100603,29,9,4,15,0,27,0,34,5,5,17,6,32,1
LACin,La Cloche (inner),46.05830011,-81.84979604,22,5,0,17,0,22,0,14,5,0,8,1,13,0
LSP,Lake St. Patrick,44.97800534,-79.92992983,35,6,5,24,0,34,1,23,3,5,10,5,20,3
LCH,Lost Channel,45.59375058,-80.50952692,24,6,3,15,0,23,0,28,5,4,13,5,25,1
MB,Matchedash Bay,44.75009692,-79.68819461,33,11,2,20,0,29,2,19,3,1,15,0,16,2
MNC,Miner's Creek,45.0615378,-79.93527983,35,5,4,25,0,32,1,24,3,5,12,4,23,1
MO,Moreaus Bay,45.01294781,-79.94582926,34,6,5,22,0,32,1,42,9,5,24,4,41,1
MS,Musky Bay,44.81127038,-79.7817362,47,12,5,30,0,44,1,32,6,5,17,4,30,2
NI,Ni Bay,45.512471,-80.46442488,10,4,3,3,0,10,0,22,4,5,10,3,21,1
NB,North Bay,44.89704068,-79.79430753,39,9,5,24,0,37,1,34,4,5,19,5,32,1
OB,Oak Bay,44.79644076,-79.73407626,41,13,6,22,0,40,1,25,4,4,17,0,24,0
OJ,Ojibway Bay,44.88757162,-79.85817054,33,8,5,20,0,31,2,41,9,5,21,6,37,3
PQN,Prisque Bay North,45.69099418,-80.5874713,25,5,5,15,0,25,0,23,3,5,13,2,21,2
PQS,Prisque Bay South,45.6867019,-80.58298309,29,4,5,20,0,29,0,19,4,4,10,1,17,2
QI,Quarry Island,44.83404028,-79.80846582,36,7,3,25,0,34,1,35,9,5,18,3,33,1
RB,Roberts Bay,44.85539039,-79.83059727,31,8,5,18,0,30,1,46,10,6,24,5,42,2
RUE,Russel Island East,45.26535,-81.69102,7,6,0,1,0,7,0,12,6,1,5,0,11,1
RUW,Russel Island West,45.26458,-81.70412,18,10,1,7,0,16,1,15,6,2,7,0,14,1
SHW,Shadow Bay,45.9489625,-80.73454833,28,5,3,20,0,28,0,20,3,3,13,1,20,0
SHR,Shawanaga River,45.56235,-80.36529,22,4,5,12,0,21,0,21,6,5,5,5,20,1
STCR,Sturgeon Bay Central,45.61451412,-80.42346972,37,8,4,25,0,36,1,35,8,4,19,4,34,1
STS,Sturgeon Bay South,44.73835,-79.74100932,23,6,2,15,0,22,1,16,3,0,13,0,14,2
SJ,Sugar John,45.93878658,-81.16978233,34,6,4,24,0,34,0,39,8,5,19,6,36,2
TD1,Tadenac Bay 1,45.0367446,-79.9889381,37,11,3,22,0,36,0,26,4,2,16,4,26,0
TD2,Tadenac Bay 2,45.04042893,-79.98655946,36,7,3,26,0,35,1,20,3,0,12,5,20,0
TB,Treasure Bay,44.86969971,-79.86626557,35,9,4,22,0,32,2,35,5,4,24,2,34,0
WTF,Waterfall Bay,45.56261857,-80.34477714,28,6,4,17,0,27,0,21,2,4,11,4,21,0
WE,West Bay,45.42136988,-80.30638512,25,4,5,16,0,25,0,29,4,5,12,8,27,2
